map,map_type,map_slug,hero,role,winrate,pickrate
Dorado,Escort,dorado,Widowmaker,DPS,71.10,7.80
Dorado,Escort,dorado,D.Va,TANK,45.30,8.70
Dorado,Escort,dorado,Domina,TANK,40.50,1.50
Dorado,Escort,dorado,Doomfist,TANK,50.70,8.50
Dorado,Escort,dorado,Hazard,TANK,45.80,12.10
Dorado,Escort,dorado,Junker Queen,TANK,40.50,1.30
Dorado,Escort,dorado,Mauga,TANK,47.40,8.20
Dorado,Escort,dorado,Orisa,TANK,49.40,4.70
Dorado,Escort,dorado,Ramattra,TANK,36.90,1.70
Dorado,Escort,dorado,Reinhardt,TANK,48.10,2.70
Dorado,Escort,dorado,Roadhog,TANK,57.80,6.60
Dorado,Escort,dorado,Sigma,TANK,52.40,10.90
Dorado,Escort,dorado,Winston,TANK,52.10,21.60
Dorado,Escort,dorado,Wrecking Ball,TANK,55.30,6.70
Dorado,Escort,dorado,Zarya,TANK,51.30,4.90
Dorado,Escort,dorado,Ana,SUP,49.10,34.80
Dorado,Escort,dorado,Baptiste,SUP,49.60,4.60
Dorado,Escort,dorado,Brigitte,SUP,45.50,18.20
Dorado,Escort,dorado,Illari,SUP,65.60,7.70
Dorado,Escort,dorado,Jetpack Cat,SUP,52.80,11.30
Dorado,Escort,dorado,Juno,SUP,49.10,11.70
Dorado,Escort,dorado,Kiriko,SUP,48.30,54.10
Dorado,Escort,dorado,Lifeweaver,SUP,44.20,7.40
Dorado,Escort,dorado,Lúcio,SUP,45.70,4.70
Dorado,Escort,dorado,Mercy,SUP,52.50,16.40
Dorado,Escort,dorado,Mizuki,SUP,57.90,8.20
Dorado,Escort,dorado,Moira,SUP,47.80,6.00
Dorado,Escort,dorado,Wuyang,SUP,59.80,8.80
Dorado,Escort,dorado,Zenyatta,SUP,32.50,6.00
Havana,Escort,havana,Anran,DPS,46.90,1.90
Havana,Escort,havana,Ashe,DPS,55.40,21.40
Havana,Escort,havana,Bastion,DPS,32.10,5.40
Havana,Escort,havana,Cassidy,DPS,48.00,11.90
Havana,Escort,havana,Echo,DPS,38.10,3.50
Havana,Escort,havana,Emre,DPS,60.20,7.20
Havana,Escort,havana,Freja,DPS,57.50,15.70
Havana,Escort,havana,Genji,DPS,37.50,14.30
Havana,Escort,havana,Hanzo,DPS,53.60,15.30
Havana,Escort,havana,Junkrat,DPS,31.70,2.10
Havana,Escort,havana,Mei,DPS,48.50,5.50
Havana,Escort,havana,Pharah,DPS,39.20,2.20
Havana,Escort,havana,Reaper,DPS,54.50,5.10
Havana,Escort,havana,Shion,DPS,46.70,8.60
Havana,Escort,havana,Sierra,DPS,46.20,2.60
Havana,Escort,havana,Sojourn,DPS,53.60,26.90
Havana,Escort,havana,Soldier: 76,DPS,52.90,11.90
Havana,Escort,havana,Sombra,DPS,52.00,1.80
Havana,Escort,havana,Symmetra,DPS,46.30,2.80
Havana,Escort,havana,Torbjörn,DPS,33.10,4.60
Havana,Escort,havana,Tracer,DPS,48.20,9.60
Havana,Escort,havana,Vendetta,DPS,41.70,1.90
Havana,Escort,havana,Venture,DPS,69.80,1.50
Havana,Escort,havana,Widowmaker,DPS,64.90,16.20
Havana,Escort,havana,D.Va,TANK,47.70,3.90
Havana,Escort,havana,Domina,TANK,62.90,7.30
Havana,Escort,havana,Doomfist,TANK,47.40,8.40
Havana,Escort,havana,Hazard,TANK,44.10,2.80
Havana,Escort,havana,Junker Queen,TANK,40.80,1.90
Havana,Escort,havana,Mauga,TANK,64.40,4.80
Havana,Escort,havana,Orisa,TANK,37.80,9.20
Havana,Escort,havana,Ramattra,TANK,45.00,8.80
Havana,Escort,havana,Reinhardt,TANK,40.10,8.90
Havana,Escort,havana,Roadhog,TANK,46.00,4.10
Havana,Escort,havana,Sigma,TANK,62.60,25.80
Havana,Escort,havana,Winston,TANK,40.80,4.70
Havana,Escort,havana,Wrecking Ball,TANK,40.00,2.10
Havana,Escort,havana,Zarya,TANK,62.70,7.30
Havana,Escort,havana,Ana,SUP,44.70,53.60
Havana,Escort,havana,Baptiste,SUP,60.90,7.20
Havana,Escort,havana,Brigitte,SUP,61.60,5.20
Havana,Escort,havana,Illari,SUP,52.10,11.90
Havana,Escort,havana,Jetpack Cat,SUP,55.30,4.80
Havana,Escort,havana,Juno,SUP,49.70,10.70
Havana,Escort,havana,Kiriko,SUP,52.30,39.80
Havana,Escort,havana,Lifeweaver,SUP,38.60,7.20
Havana,Escort,havana,Lúcio,SUP,37.90,2.50
Havana,Escort,havana,Mercy,SUP,44.20,16.20
Havana,Escort,havana,Mizuki,SUP,32.50,6.80
Havana,Escort,havana,Moira,SUP,64.30,5.30
Havana,Escort,havana,Wuyang,SUP,52.10,10.00
Havana,Escort,havana,Zenyatta,SUP,58.30,18.90
Junkertown,Escort,junkertown,Anran,DPS,,
Junkertown,Escort,junkertown,Ashe,DPS,,
Junkertown,Escort,junkertown,Bastion,DPS,,
Junkertown,Escort,junkertown,Cassidy,DPS,,
Junkertown,Escort,junkertown,Echo,DPS,,
Junkertown,Escort,junkertown,Emre,DPS,,
Junkertown,Escort,junkertown,Freja,DPS,,
Junkertown,Escort,junkertown,Genji,DPS,,
Junkertown,Escort,junkertown,Hanzo,DPS,,
Junkertown,Escort,junkertown,Junkrat,DPS,,
Junkertown,Escort,junkertown,Mei,DPS,,
Junkertown,Escort,junkertown,Pharah,DPS,,
Junkertown,Escort,junkertown,Reaper,DPS,,
Junkertown,Escort,junkertown,Shion,DPS,,
Junkertown,Escort,junkertown,Sierra,DPS,,
Junkertown,Escort,junkertown,Sojourn,DPS,,
Junkertown,Escort,junkertown,Soldier: 76,DPS,,
Junkertown,Escort,junkertown,Sombra,DPS,,
Junkertown,Escort,junkertown,Symmetra,DPS,,
Junkertown,Escort,junkertown,Torbjörn,DPS,,
Junkertown,Escort,junkertown,Tracer,DPS,,
Junkertown,Escort,junkertown,Vendetta,DPS,,
Junkertown,Escort,junkertown,Venture,DPS,,
Junkertown,Escort,junkertown,Widowmaker,DPS,,
Junkertown,Escort,junkertown,D.Va,TANK,,
Junkertown,Escort,junkertown,Domina,TANK,,
Junkertown,Escort,junkertown,Doomfist,TANK,,
Junkertown,Escort,junkertown,Hazard,TANK,,
Junkertown,Escort,junkertown,Junker Queen,TANK,,
Junkertown,Escort,junkertown,Mauga,TANK,,
Junkertown,Escort,junkertown,Orisa,TANK,,
Junkertown,Escort,junkertown,Ramattra,TANK,,
Junkertown,Escort,junkertown,Reinhardt,TANK,,
Junkertown,Escort,junkertown,Roadhog,TANK,,
Junkertown,Escort,junkertown,Sigma,TANK,,
Junkertown,Escort,junkertown,Winston,TANK,,
Junkertown,Escort,junkertown,Wrecking Ball,TANK,,
Junkertown,Escort,junkertown,Zarya,TANK,,
Junkertown,Escort,junkertown,Ana,SUP,,
Junkertown,Escort,junkertown,Baptiste,SUP,,
Junkertown,Escort,junkertown,Brigitte,SUP,,
Junkertown,Escort,junkertown,Illari,SUP,,
Junkertown,Escort,junkertown,Jetpack Cat,SUP,,
Junkertown,Escort,junkertown,Juno,SUP,,
Junkertown,Escort,junkertown,Kiriko,SUP,,
Junkertown,Escort,junkertown,Lifeweaver,SUP,,
Junkertown,Escort,junkertown,Lúcio,SUP,,
Junkertown,Escort,junkertown,Mercy,SUP,,
Junkertown,Escort,junkertown,Mizuki,SUP,,
Junkertown,Escort,junkertown,Moira,SUP,,
Junkertown,Escort,junkertown,Wuyang,SUP,,
Junkertown,Escort,junkertown,Zenyatta,SUP,,
Rialto,Escort,rialto,Anran,DPS,47.90,2.80
Rialto,Escort,rialto,Ashe,DPS,53.60,16.40
Rialto,Escort,rialto,Bastion,DPS,53.90,5.30
Rialto,Escort,rialto,Cassidy,DPS,44.80,17.30
Rialto,Escort,rialto,Echo,DPS,51.90,8.10
Rialto,Escort,rialto,Emre,DPS,49.40,7.20
Rialto,Escort,rialto,Freja,DPS,51.20,13.30
Rialto,Escort,rialto,Genji,DPS,53.10,14.70
Rialto,Escort,rialto,Hanzo,DPS,55.10,6.90
Rialto,Escort,rialto,Junkrat,DPS,59.30,4.30
Rialto,Escort,rialto,Mei,DPS,46.60,5.90
Rialto,Escort,rialto,Pharah,DPS,60.80,7.00
Rialto,Escort,rialto,Reaper,DPS,55.30,6.80
Rialto,Escort,rialto,Shion,DPS,49.80,9.70
Rialto,Escort,rialto,Sierra,DPS,39.20,1.90
Rialto,Escort,rialto,Sojourn,DPS,43.60,19.10
Rialto,Escort,rialto,Soldier: 76,DPS,49.70,11.40
Rialto,Escort,rialto,Sombra,DPS,36.80,2.00
Rialto,Escort,rialto,Symmetra,DPS,40.80,2.90
Rialto,Escort,rialto,Torbjörn,DPS,46.60,5.90
Rialto,Escort,rialto,Tracer,DPS,50.60,14.60
Rialto,Escort,rialto,Vendetta,DPS,43.50,2.20
Rialto,Escort,rialto,Venture,DPS,40.20,1.90
Rialto,Escort,rialto,Widowmaker,DPS,49.50,12.50
Rialto,Escort,rialto,D.Va,TANK,51.10,7.90
Rialto,Escort,rialto,Domina,TANK,49.90,2.60
Rialto,Escort,rialto,Doomfist,TANK,48.90,10.10
Rialto,Escort,rialto,Hazard,TANK,57.00,8.90
Rialto,Escort,rialto,Junker Queen,TANK,44.40,3.00
Rialto,Escort,rialto,Mauga,TANK,48.00,6.10
Rialto,Escort,rialto,Orisa,TANK,47.90,7.10
Rialto,Escort,rialto,Ramattra,TANK,45.90,4.20
Rialto,Escort,rialto,Reinhardt,TANK,50.60,6.50
Rialto,Escort,rialto,Roadhog,TANK,41.70,7.70
Rialto,Escort,rialto,Sigma,TANK,51.80,15.90
Rialto,Escort,rialto,Winston,TANK,51.40,8.10
Rialto,Escort,rialto,Wrecking Ball,TANK,46.40,4.40
Rialto,Escort,rialto,Zarya,TANK,57.00,7.60
Rialto,Escort,rialto,Ana,SUP,47.50,43.80
Rialto,Escort,rialto,Baptiste,SUP,48.40,6.90
Rialto,Escort,rialto,Brigitte,SUP,50.90,9.10
Rialto,Escort,rialto,Illari,SUP,57.50,9.40
Rialto,Escort,rialto,Jetpack Cat,SUP,48.00,11.00
Rialto,Escort,rialto,Juno,SUP,46.50,13.10
Rialto,Escort,rialto,Kiriko,SUP,48.00,44.80
Rialto,Escort,rialto,Lifeweaver,SUP,52.20,6.90
Rialto,Escort,rialto,Lúcio,SUP,40.70,4.10
Rialto,Escort,rialto,Mercy,SUP,53.80,15.80
Rialto,Escort,rialto,Mizuki,SUP,49.80,8.80
Rialto,Escort,rialto,Moira,SUP,57.70,6.00
Rialto,Escort,rialto,Wuyang,SUP,49.30,8.80
Rialto,Escort,rialto,Zenyatta,SUP,53.60,11.70
Route 66,Escort,route-66,Anran,DPS,39.70,3.50
Route 66,Escort,route-66,Ashe,DPS,46.90,15.40
Route 66,Escort,route-66,Bastion,DPS,57.30,6.90
Route 66,Escort,route-66,Cassidy,DPS,51.70,18.20
Route 66,Escort,route-66,Echo,DPS,33.00,5.10
Route 66,Escort,route-66,Emre,DPS,51.80,7.10
Route 66,Escort,route-66,Freja,DPS,53.70,14.50
Route 66,Escort,route-66,Genji,DPS,53.10,15.50
Route 66,Escort,route-66,Hanzo,DPS,60.30,7.80
Route 66,Escort,route-66,Junkrat,DPS,50.80,2.80
Route 66,Escort,route-66,Mei,DPS,34.70,4.10
Route 66,Escort,route-66,Pharah,DPS,53.00,4.50
Route 66,Escort,route-66,Reaper,DPS,44.80,7.80
Route 66,Escort,route-66,Shion,DPS,44.60,11.40
Route 66,Escort,route-66,Sierra,DPS,47.80,1.70
Route 66,Escort,route-66,Sojourn,DPS,47.00,20.70
Route 66,Escort,route-66,Soldier: 76,DPS,50.40,14.00
Route 66,Escort,route-66,Sombra,DPS,64.40,2.00
Route 66,Escort,route-66,Symmetra,DPS,35.20,3.10
Route 66,Escort,route-66,Torbjörn,DPS,44.90,4.10
Route 66,Escort,route-66,Tracer,DPS,59.20,16.30
Route 66,Escort,route-66,Vendetta,DPS,60.90,2.00
Route 66,Escort,route-66,Venture,DPS,19.10,1.30
Route 66,Escort,route-66,Widowmaker,DPS,54.30,10.10
Route 66,Escort,route-66,D.Va,TANK,54.40,7.10
Route 66,Escort,route-66,Domina,TANK,47.90,1.90
Route 66,Escort,route-66,Doomfist,TANK,54.80,10.40
Route 66,Escort,route-66,Hazard,TANK,57.50,9.00
Route 66,Escort,route-66,Junker Queen,TANK,76.20,3.00
Route 66,Escort,route-66,Mauga,TANK,30.30,4.30
Route 66,Escort,route-66,Orisa,TANK,50.80,6.40
Route 66,Escort,route-66,Ramattra,TANK,56.20,3.30
Route 66,Escort,route-66,Reinhardt,TANK,56.00,5.80
Route 66,Escort,route-66,Roadhog,TANK,44.10,7.40
Route 66,Escort,route-66,Sigma,TANK,48.10,16.30
Route 66,Escort,route-66,Winston,TANK,39.70,13.20
Route 66,Escort,route-66,Wrecking Ball,TANK,40.90,5.40
Route 66,Escort,route-66,Zarya,TANK,53.60,6.40
Route 66,Escort,route-66,Ana,SUP,49.60,35.60
Route 66,Escort,route-66,Baptiste,SUP,52.20,8.60
Route 66,Escort,route-66,Brigitte,SUP,54.10,13.70
Route 66,Escort,route-66,Illari,SUP,51.10,10.20
Route 66,Escort,route-66,Jetpack Cat,SUP,55.10,6.40
Route 66,Escort,route-66,Juno,SUP,57.90,14.80
Route 66,Escort,route-66,Kiriko,SUP,43.30,50.30
Route 66,Escort,route-66,Lifeweaver,SUP,48.70,6.60
Route 66,Escort,route-66,Lúcio,SUP,43.20,5.00
Route 66,Escort,route-66,Mercy,SUP,45.10,18.00
Route 66,Escort,route-66,Mizuki,SUP,56.00,8.80
Route 66,Escort,route-66,Moira,SUP,53.10,6.90
Route 66,Escort,route-66,Wuyang,SUP,42.90,8.70
Route 66,Escort,route-66,Zenyatta,SUP,57.40,6.40
Shambali Monastery,Escort,shambali-monastery,Anran,DPS,,
Shambali Monastery,Escort,shambali-monastery,Ashe,DPS,,
Shambali Monastery,Escort,shambali-monastery,Bastion,DPS,,
Shambali Monastery,Escort,shambali-monastery,Cassidy,DPS,,
Shambali Monastery,Escort,shambali-monastery,Echo,DPS,,
Shambali Monastery,Escort,shambali-monastery,Emre,DPS,,
Shambali Monastery,Escort,shambali-monastery,Freja,DPS,,
Shambali Monastery,Escort,shambali-monastery,Genji,DPS,,
Shambali Monastery,Escort,shambali-monastery,Hanzo,DPS,,
Shambali Monastery,Escort,shambali-monastery,Junkrat,DPS,,
Shambali Monastery,Escort,shambali-monastery,Mei,DPS,,
Shambali Monastery,Escort,shambali-monastery,Pharah,DPS,,
Shambali Monastery,Escort,shambali-monastery,Reaper,DPS,,
Shambali Monastery,Escort,shambali-monastery,Shion,DPS,,
Shambali Monastery,Escort,shambali-monastery,Sierra,DPS,,
Shambali Monastery,Escort,shambali-monastery,Sojourn,DPS,,
Shambali Monastery,Escort,shambali-monastery,Soldier: 76,DPS,,
Shambali Monastery,Escort,shambali-monastery,Sombra,DPS,,
Shambali Monastery,Escort,shambali-monastery,Symmetra,DPS,,
Shambali Monastery,Escort,shambali-monastery,Torbjörn,DPS,,
Shambali Monastery,Escort,shambali-monastery,Tracer,DPS,,
Shambali Monastery,Escort,shambali-monastery,Vendetta,DPS,,
Shambali Monastery,Escort,shambali-monastery,Venture,DPS,,
Shambali Monastery,Escort,shambali-monastery,Widowmaker,DPS,,
Shambali Monastery,Escort,shambali-monastery,D.Va,TANK,,
Shambali Monastery,Escort,shambali-monastery,Domina,TANK,,
Shambali Monastery,Escort,shambali-monastery,Doomfist,TANK,,
Shambali Monastery,Escort,shambali-monastery,Hazard,TANK,,
Shambali Monastery,Escort,shambali-monastery,Junker Queen,TANK,,
Shambali Monastery,Escort,shambali-monastery,Mauga,TANK,,
Shambali Monastery,Escort,shambali-monastery,Orisa,TANK,,
Shambali Monastery,Escort,shambali-monastery,Ramattra,TANK,,
Shambali Monastery,Escort,shambali-monastery,Reinhardt,TANK,,
Shambali Monastery,Escort,shambali-monastery,Roadhog,TANK,,
Shambali Monastery,Escort,shambali-monastery,Sigma,TANK,,
Shambali Monastery,Escort,shambali-monastery,Winston,TANK,,
Shambali Monastery,Escort,shambali-monastery,Wrecking Ball,TANK,,
Shambali Monastery,Escort,shambali-monastery,Zarya,TANK,,
Shambali Monastery,Escort,shambali-monastery,Ana,SUP,,
Shambali Monastery,Escort,shambali-monastery,Baptiste,SUP,,
Shambali Monastery,Escort,shambali-monastery,Brigitte,SUP,,
Shambali Monastery,Escort,shambali-monastery,Illari,SUP,,
Shambali Monastery,Escort,shambali-monastery,Jetpack Cat,SUP,,
Shambali Monastery,Escort,shambali-monastery,Juno,SUP,,
Shambali Monastery,Escort,shambali-monastery,Kiriko,SUP,,
Shambali Monastery,Escort,shambali-monastery,Lifeweaver,SUP,,
Shambali Monastery,Escort,shambali-monastery,Lúcio,SUP,,
Shambali Monastery,Escort,shambali-monastery,Mercy,SUP,,
Shambali Monastery,Escort,shambali-monastery,Mizuki,SUP,,
Shambali Monastery,Escort,shambali-monastery,Moira,SUP,,
Shambali Monastery,Escort,shambali-monastery,Wuyang,SUP,,
Shambali Monastery,Escort,shambali-monastery,Zenyatta,SUP,,
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Anran,DPS,41.70,2.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Ashe,DPS,53.20,18.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Bastion,DPS,57.50,5.40
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Cassidy,DPS,41.80,18.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Echo,DPS,53.70,7.00
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Emre,DPS,49.60,6.80
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Freja,DPS,44.50,12.50
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Genji,DPS,47.30,17.40
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Hanzo,DPS,49.90,4.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Junkrat,DPS,61.70,5.00
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Mei,DPS,33.40,2.10
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Pharah,DPS,61.40,3.00
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Reaper,DPS,50.60,8.80
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Shion,DPS,57.50,9.70
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Sierra,DPS,28.00,1.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Sojourn,DPS,37.60,10.20
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Soldier: 76,DPS,51.90,11.70
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Sombra,DPS,61.40,2.20
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Symmetra,DPS,50.40,3.30
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Torbjörn,DPS,40.30,5.30
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Tracer,DPS,56.00,27.10
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Vendetta,DPS,41.20,2.20
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Venture,DPS,59.10,1.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Widowmaker,DPS,57.60,11.00
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,D.Va,TANK,56.40,9.70
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Domina,TANK,33.20,1.10
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Doomfist,TANK,53.80,10.50
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Hazard,TANK,55.10,12.30
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Junker Queen,TANK,53.20,1.40
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Mauga,TANK,35.30,5.60
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Orisa,TANK,44.80,3.50
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Ramattra,TANK,69.90,1.10
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Reinhardt,TANK,52.80,3.30
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Roadhog,TANK,51.10,8.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Sigma,TANK,36.50,7.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Winston,TANK,47.40,22.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Wrecking Ball,TANK,59.50,8.80
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Zarya,TANK,50.90,2.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Ana,SUP,53.90,44.40
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Baptiste,SUP,54.10,6.20
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Brigitte,SUP,48.10,18.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Illari,SUP,65.00,9.20
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Jetpack Cat,SUP,41.10,9.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Juno,SUP,43.60,9.50
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Kiriko,SUP,51.80,48.10
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Lifeweaver,SUP,42.80,7.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Lúcio,SUP,60.00,3.10
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Mercy,SUP,53.60,13.50
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Mizuki,SUP,45.70,9.90
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Moira,SUP,34.90,5.00
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Wuyang,SUP,47.10,7.60
Watchpoint: Gibraltar,Escort,watchpoint-gibraltar,Zenyatta,SUP,53.30,6.60
Blizzard World,Hybrid,blizzard-world,Anran,DPS,52.80,3.60
Blizzard World,Hybrid,blizzard-world,Ashe,DPS,46.60,14.90
Blizzard World,Hybrid,blizzard-world,Bastion,DPS,43.50,4.70
Blizzard World,Hybrid,blizzard-world,Cassidy,DPS,48.00,18.10
Blizzard World,Hybrid,blizzard-world,Echo,DPS,58.00,4.20
Blizzard World,Hybrid,blizzard-world,Emre,DPS,62.00,6.40
Blizzard World,Hybrid,blizzard-world,Freja,DPS,61.40,12.50
Blizzard World,Hybrid,blizzard-world,Genji,DPS,46.70,13.60
Blizzard World,Hybrid,blizzard-world,Hanzo,DPS,52.90,7.30
Blizzard World,Hybrid,blizzard-world,Junkrat,DPS,22.30,1.90
Blizzard World,Hybrid,blizzard-world,Mei,DPS,67.60,4.00
Blizzard World,Hybrid,blizzard-world,Pharah,DPS,38.10,5.30
Blizzard World,Hybrid,blizzard-world,Reaper,DPS,58.80,6.50
Blizzard World,Hybrid,blizzard-world,Shion,DPS,51.80,14.00
Blizzard World,Hybrid,blizzard-world,Sierra,DPS,55.50,1.50
Blizzard World,Hybrid,blizzard-world,Sojourn,DPS,44.30,22.80
Blizzard World,Hybrid,blizzard-world,Soldier: 76,DPS,41.30,15.10
Blizzard World,Hybrid,blizzard-world,Sombra,DPS,35.10,2.30
Blizzard World,Hybrid,blizzard-world,Symmetra,DPS,30.80,2.10
Blizzard World,Hybrid,blizzard-world,Torbjörn,DPS,44.60,5.40
Blizzard World,Hybrid,blizzard-world,Tracer,DPS,43.10,18.40
Blizzard World,Hybrid,blizzard-world,Vendetta,DPS,41.40,2.10
Blizzard World,Hybrid,blizzard-world,Venture,DPS,93.30,0.70
Blizzard World,Hybrid,blizzard-world,Widowmaker,DPS,50.40,12.60
Blizzard World,Hybrid,blizzard-world,D.Va,TANK,44.00,6.00
Blizzard World,Hybrid,blizzard-world,Domina,TANK,54.10,2.10
Blizzard World,Hybrid,blizzard-world,Doomfist,TANK,45.20,8.60
Blizzard World,Hybrid,blizzard-world,Hazard,TANK,48.30,7.10
Blizzard World,Hybrid,blizzard-world,Junker Queen,TANK,58.20,4.80
Blizzard World,Hybrid,blizzard-world,Mauga,TANK,36.90,6.70
Blizzard World,Hybrid,blizzard-world,Orisa,TANK,47.70,5.10
Blizzard World,Hybrid,blizzard-world,Ramattra,TANK,35.80,3.40
Blizzard World,Hybrid,blizzard-world,Reinhardt,TANK,53.90,6.20
Blizzard World,Hybrid,blizzard-world,Roadhog,TANK,41.60,7.80
Blizzard World,Hybrid,blizzard-world,Sigma,TANK,48.50,18.30
Blizzard World,Hybrid,blizzard-world,Winston,TANK,54.80,9.90
Blizzard World,Hybrid,blizzard-world,Wrecking Ball,TANK,46.70,8.20
Blizzard World,Hybrid,blizzard-world,Zarya,TANK,49.60,5.90
Blizzard World,Hybrid,blizzard-world,Ana,SUP,56.30,37.50
Blizzard World,Hybrid,blizzard-world,Baptiste,SUP,60.10,5.80
Blizzard World,Hybrid,blizzard-world,Brigitte,SUP,43.10,7.50
Blizzard World,Hybrid,blizzard-world,Illari,SUP,40.50,8.00
Blizzard World,Hybrid,blizzard-world,Jetpack Cat,SUP,39.60,8.80
Blizzard World,Hybrid,blizzard-world,Juno,SUP,48.70,16.80
Blizzard World,Hybrid,blizzard-world,Kiriko,SUP,41.20,47.30
Blizzard World,Hybrid,blizzard-world,Lifeweaver,SUP,52.00,7.00
Blizzard World,Hybrid,blizzard-world,Lúcio,SUP,37.50,5.30
Blizzard World,Hybrid,blizzard-world,Mercy,SUP,53.40,16.60
Blizzard World,Hybrid,blizzard-world,Mizuki,SUP,45.10,10.50
Blizzard World,Hybrid,blizzard-world,Moira,SUP,55.90,7.70
Blizzard World,Hybrid,blizzard-world,Wuyang,SUP,47.90,10.80
Blizzard World,Hybrid,blizzard-world,Zenyatta,SUP,49.70,10.30
Eichenwalde,Hybrid,eichenwalde,Anran,DPS,62.30,2.70
Eichenwalde,Hybrid,eichenwalde,Ashe,DPS,54.50,9.50
Eichenwalde,Hybrid,eichenwalde,Bastion,DPS,56.20,7.20
Eichenwalde,Hybrid,eichenwalde,Cassidy,DPS,42.40,24.70
Eichenwalde,Hybrid,eichenwalde,Echo,DPS,45.40,9.90
Eichenwalde,Hybrid,eichenwalde,Emre,DPS,42.20,4.70
Eichenwalde,Hybrid,eichenwalde,Freja,DPS,51.40,12.40
Eichenwalde,Hybrid,eichenwalde,Genji,DPS,53.70,13.80
Eichenwalde,Hybrid,eichenwalde,Hanzo,DPS,51.60,5.70
Eichenwalde,Hybrid,eichenwalde,Junkrat,DPS,60.30,5.40
Eichenwalde,Hybrid,eichenwalde,Mei,DPS,38.80,7.10
Eichenwalde,Hybrid,eichenwalde,Pharah,DPS,53.10,8.90
Eichenwalde,Hybrid,eichenwalde,Reaper,DPS,45.00,10.60
Eichenwalde,Hybrid,eichenwalde,Shion,DPS,43.10,12.80
Eichenwalde,Hybrid,eichenwalde,Sierra,DPS,33.70,2.00
Eichenwalde,Hybrid,eichenwalde,Sojourn,DPS,44.30,15.80
Eichenwalde,Hybrid,eichenwalde,Soldier: 76,DPS,46.90,8.80
Eichenwalde,Hybrid,eichenwalde,Sombra,DPS,46.40,1.90
Eichenwalde,Hybrid,eichenwalde,Symmetra,DPS,57.00,3.50
Eichenwalde,Hybrid,eichenwalde,Torbjörn,DPS,57.80,4.80
Eichenwalde,Hybrid,eichenwalde,Tracer,DPS,55.00,16.30
Eichenwalde,Hybrid,eichenwalde,Vendetta,DPS,43.70,3.80
Eichenwalde,Hybrid,eichenwalde,Venture,DPS,62.00,2.30
Eichenwalde,Hybrid,eichenwalde,Widowmaker,DPS,42.00,5.10
